Time,Last Price,Net Change,Volume,OI,Buy Quantity,Sell Quantity,Buy Sell Diff,Total Bid Qty,Total Offer Qty
2025-11-04 21:00:08,119704,0,61487.0,39044.0,1686,2897,-1211,18,10
2025-11-04 21:00:03,119738,0,61470.0,39044.0,1672,2885,-1213,22,10
2025-11-04 20:59:58,119737,0,61464.0,39045.0,1668,2883,-1215,9,12
2025-11-04 20:59:53,119734,0,61461.0,39045.0,1668,2872,-1204,9,11
2025-11-04 20:59:48,119722,0,61460.0,39045.0,1669,2870,-1201,9,10
2025-11-04 20:59:43,119722,0,61460.0,39045.0,1674,2874,-1200,6,14
2025-11-04 20:59:38,119722,0,61460.0,39045.0,1696,2868,-1172,10,13
2025-11-04 20:59:33,119735,0,61451.0,39049.0,1674,2867,-1193,7,14
2025-11-04 20:59:27,119739,0,61449.0,39049.0,1679,2862,-1183,6,7
2025-11-04 20:59:22,119750,0,61444.0,39049.0,1667,2878,-1211,7,12
2025-11-04 20:59:17,119725,0,61443.0,39049.0,1674,2879,-1205,8,6
2025-11-04 20:59:12,119740,0,61434.0,39049.0,1676,2875,-1199,11,13
2025-11-04 20:59:07,119740,0,61433.0,39049.0,1678,2872,-1194,10,12
2025-11-04 20:59:02,119740,0,61433.0,39049.0,1675,2872,-1197,10,14
2025-11-04 20:58:56,119740,0,61433.0,39049.0,1678,2870,-1192,11,11
2025-11-04 20:58:51,119760,0,61432.0,39049.0,1681,2868,-1187,10,16
2025-11-04 20:58:46,119766,0,61431.0,39049.0,1674,2876,-1202,9,6
2025-11-04 20:58:39,119750,0,61427.0,39049.0,1692,2872,-1180,10,16
2025-11-04 20:58:34,119750,0,61427.0,39043.0,1679,2867,-1188,12,13
2025-11-04 20:58:29,119750,0,61427.0,39043.0,1691,2865,-1174,10,13
2025-11-04 20:58:24,119757,0,61425.0,39043.0,1696,2865,-1169,15,16
2025-11-04 20:58:18,119744,0,61421.0,39043.0,1673,2875,-1202,9,9
2025-11-04 20:58:13,119721,0,61410.0,39043.0,1669,2882,-1213,12,12
2025-11-04 20:58:08,119732,0,61409.0,39043.0,1676,2867,-1191,10,14
2025-11-04 20:58:03,119732,0,61409.0,39043.0,1665,2873,-1208,14,8
2025-11-04 20:57:58,119745,0,61404.0,39043.0,1685,2862,-1177,6,7
2025-11-04 20:57:53,119720,0,61402.0,39043.0,1660,2868,-1208,13,6
2025-11-04 20:57:47,119728,0,61389.0,39037.0,1652,2886,-1234,9,14
2025-11-04 20:57:42,119728,0,61389.0,39037.0,1652,2886,-1234,9,14
2025-11-04 20:57:37,119728,0,61389.0,39037.0,1652,2886,-1234,9,14
2025-11-04 20:57:32,119728,0,61389.0,39037.0,1652,2886,-1234,9,14
2025-11-04 20:57:27,119728,0,61389.0,39037.0,1652,2886,-1234,9,14
2025-11-04 20:57:22,119728,0,61389.0,39034.0,1652,2882,-1230,9,7
2025-11-04 20:57:16,119720,0,61387.0,39034.0,1663,2863,-1200,10,5
2025-11-04 20:57:11,119728,0,61383.0,39034.0,1652,2875,-1223,12,7
2025-11-04 20:57:06,119745,0,61382.0,39034.0,1655,2868,-1213,13,5
2025-11-04 20:57:01,119724,0,61379.0,39034.0,1670,2869,-1199,10,5
2025-11-04 20:56:56,119720,0,61378.0,39028.0,1658,2870,-1212,11,5
2025-11-04 20:56:51,119758,0,61376.0,39028.0,1666,2883,-1217,9,7
2025-11-04 20:56:46,119754,0,61370.0,39028.0,1653,2874,-1221,12,7
2025-11-04 20:56:40,119770,0,61347.0,39026.0,1679,2856,-1177,17,8
2025-11-04 20:56:35,119770,0,61347.0,39026.0,1679,2856,-1177,17,8
2025-11-04 20:56:30,119770,0,61347.0,39026.0,1679,2856,-1177,17,8
2025-11-04 20:56:25,119770,0,61347.0,39026.0,1679,2856,-1177,17,8
2025-11-04 20:56:20,119770,0,61347.0,39026.0,1679,2856,-1177,17,8
2025-11-04 20:56:15,119770,0,61347.0,39026.0,1679,2856,-1177,17,8
2025-11-04 20:56:10,119754,0,61345.0,39020.0,1672,2858,-1186,10,6
2025-11-04 20:56:04,119780,0,61343.0,39020.0,1669,2864,-1195,13,9
2025-11-04 20:55:59,119787,0,61334.0,39020.0,1670,2856,-1186,9,6
